(25,-15)
(8,-18)
(23,13)
(-23,3)
(5,45)
(15,5)
(-31,-13)
(-64,-2)
(5,-1)
(-18,-4)
(5,23)
(44,42)
(-3,17)
(28,2)
(-25,-15)
(24,-44)
(21,13)
(-32,4)
(11,-5)
(-26,-8)
(21,31)
(-42,-6)
(-33,15)
(25,7)
(83,5)
(-41,-21)
(9,-43)
(-4,24)
(24,-22)
(-6,16)
(22,-52)
(-12,-2)
(8,-26)
(1,25)
(-18,-2)
(-31,-9)
(-21,39)
(-9,-9)
(-7,17)
(38,14)
(-8,-18)
(-19,-31)
(42,32)
(-11,37)
(-41,37)
(16,-4)
(5,27)
(-8,30)
(2,6)
(19,25)
(27,21)
(20,-2)
(5,3)
(10,-6)
(19,-11)
(10,20)
(-14,-12)
(-1,15)
(-44,36)
(-12,6)
(5,-9)
(4,32)
(-10,-2)
(44,-28)
(-33,-13)
(-1,-17)
(-19,-15)
(-7,1)
(20,22)
(-13,-5)
(10,-36)
(-37,-13)
(1,7)
(-39,27)
(-41,61)
(-23,-3)
(17,-25)
(26,-42)
(4,2)
(14,-16)
(51,-11)
(25,33)
(-11,-1)
(-1,-27)
(-14,-6)
(4,-26)
(-18,-30)
(16,-40)
(27,7)
(-6,-6)
(28,-16)
(-9,-19)
(7,63)
(-16,-6)
(15,-9)
(4,-24)
(-5,-15)
(-20,-42)
(-17,-9)
(-23,-1)
